[RESULT] [ 83124.242868] Action name :RVS-GPUP-TC1
[RESULT] [ 83124.283880] Module name :gpup
[RESULT] [ 83124.284255] [RVS-GPUP-TC1] gpup 42583 3 node_to 5
[RESULT] [ 83124.284256] [RVS-GPUP-TC1] gpup 42583 3 weight 15
[RESULT] [ 83124.284256] [RVS-GPUP-TC1] gpup 42583 3 min_latency 0
[RESULT] [ 83124.284256] [RVS-GPUP-TC1] gpup 42583 3 max_latency 0
[RESULT] [ 83124.284256] [RVS-GPUP-TC1] gpup 42583 3 min_bandwidth 76000
[RESULT] [ 83124.284258] [RVS-GPUP-TC1] gpup 42583 3 max_bandwidth 76000
[RESULT] [ 83124.284258] [RVS-GPUP-TC1] gpup 42583 3 recommended_transfer_size 0
[RESULT] [ 83124.284259] [RVS-GPUP-TC1] gpup 42583 3 recommended_sdma_engine_id_mask 16384
[RESULT] [ 83124.284259] [RVS-GPUP-TC1] gpup 42583 3 flags 1
[RESULT] [ 83124.284262] [RVS-GPUP-TC1] gpup 42583 4 type 11
[RESULT] [ 83124.284263] [RVS-GPUP-TC1] gpup 42583 4 version_major 0
[RESULT] [ 83124.284263] [RVS-GPUP-TC1] gpup 42583 4 version_minor 0
[RESULT] [ 83124.284263] [RVS-GPUP-TC1] gpup 42583 4 node_from 3
[RESULT] [ 83124.284263] [RVS-GPUP-TC1] gpup 42583 4 node_to 6
[RESULT] [ 83124.284264] [RVS-GPUP-TC1] gpup 42583 4 weight 15
[RESULT] [ 83124.284264] [RVS-GPUP-TC1] gpup 42583 4 min_latency 0
[RESULT] [ 83124.284264] [RVS-GPUP-TC1] gpup 42583 4 max_latency 0
[RESULT] [ 83124.284264] [RVS-GPUP-TC1] gpup 42583 4 min_bandwidth 76000
[RESULT] [ 83124.284265] [RVS-GPUP-TC1] gpup 42583 4 max_bandwidth 76000
[RESULT] [ 83124.284265] [RVS-GPUP-TC1] gpup 42583 4 recommended_transfer_size 0
[RESULT] [ 83124.284265] [RVS-GPUP-TC1] gpup 42583 4 recommended_sdma_engine_id_mask 1024
[RESULT] [ 83124.284265] [RVS-GPUP-TC1] gpup 42583 4 flags 1
[RESULT] [ 83124.284269] [RVS-GPUP-TC1] gpup 42583 5 type 11
[RESULT] [ 83124.284269] [RVS-GPUP-TC1] gpup 42583 5 version_major 0
[RESULT] [ 83124.284270] [RVS-GPUP-TC1] gpup 42583 5 version_minor 0
[RESULT] [ 83124.284270] [RVS-GPUP-TC1] gpup 42583 5 node_from 3
[RESULT] [ 83124.284270] [RVS-GPUP-TC1] gpup 42583 5 node_to 7
[RESULT] [ 83124.284270] [RVS-GPUP-TC1] gpup 42583 5 weight 15
[RESULT] [ 83124.284271] [RVS-GPUP-TC1] gpup 42583 5 min_latency 0
[RESULT] [ 83124.284271] [RVS-GPUP-TC1] gpup 42583 5 max_latency 0
[RESULT] [ 83124.284271] [RVS-GPUP-TC1] gpup 42583 5 min_bandwidth 76000
[RESULT] [ 83124.284271] [RVS-GPUP-TC1] gpup 42583 5 max_bandwidth 76000
[RESULT] [ 83124.284272] [RVS-GPUP-TC1] gpup 42583 5 recommended_transfer_size 0
[RESULT] [ 83124.284272] [RVS-GPUP-TC1] gpup 42583 5 recommended_sdma_engine_id_mask 16
[RESULT] [ 83124.284272] [RVS-GPUP-TC1] gpup 42583 5 flags 1
[RESULT] [ 83124.284275] [RVS-GPUP-TC1] gpup 42583 6 type 11
[RESULT] [ 83124.284276] [RVS-GPUP-TC1] gpup 42583 6 version_major 0
[RESULT] [ 83124.284276] [RVS-GPUP-TC1] gpup 42583 6 version_minor 0
[RESULT] [ 83124.284276] [RVS-GPUP-TC1] gpup 42583 6 node_from 3
[RESULT] [ 83124.284276] [RVS-GPUP-TC1] gpup 42583 6 node_to 8
[RESULT] [ 83124.284277] [RVS-GPUP-TC1] gpup 42583 6 weight 15
[RESULT] [ 83124.284277] [RVS-GPUP-TC1] gpup 42583 6 min_latency 0
[RESULT] [ 83124.284277] [RVS-GPUP-TC1] gpup 42583 6 max_latency 0
[RESULT] [ 83124.284278] [RVS-GPUP-TC1] gpup 42583 6 min_bandwidth 76000
[RESULT] [ 83124.284278] [RVS-GPUP-TC1] gpup 42583 6 max_bandwidth 76000
[RESULT] [ 83124.284278] [RVS-GPUP-TC1] gpup 42583 6 recommended_transfer_size 0
[RESULT] [ 83124.284278] [RVS-GPUP-TC1] gpup 42583 6 recommended_sdma_engine_id_mask 64
[RESULT] [ 83124.284279] [RVS-GPUP-TC1] gpup 42583 6 flags 1
[RESULT] [ 83124.284282] [RVS-GPUP-TC1] gpup 42583 7 type 11
[RESULT] [ 83124.284282] [RVS-GPUP-TC1] gpup 42583 7 version_major 0
[RESULT] [ 83124.284282] [RVS-GPUP-TC1] gpup 42583 7 version_minor 0
[RESULT] [ 83124.284283] [RVS-GPUP-TC1] gpup 42583 7 node_from 3
[RESULT] [ 83124.284283] [RVS-GPUP-TC1] gpup 42583 7 node_to 9
[RESULT] [ 83124.284283] [RVS-GPUP-TC1] gpup 42583 7 weight 15
[RESULT] [ 83124.284283] [RVS-GPUP-TC1] gpup 42583 7 min_latency 0
[RESULT] [ 83124.284284] [RVS-GPUP-TC1] gpup 42583 7 max_latency 0
[RESULT] [ 83124.284284] [RVS-GPUP-TC1] gpup 42583 7 min_bandwidth 76000
[RESULT] [ 83124.284284] [RVS-GPUP-TC1] gpup 42583 7 max_bandwidth 76000
[RESULT] [ 83124.284284] [RVS-GPUP-TC1] gpup 42583 7 recommended_transfer_size 0
[RESULT] [ 83124.284285] [RVS-GPUP-TC1] gpup 42583 7 recommended_sdma_engine_id_mask 256
[RESULT] [ 83124.284285] [RVS-GPUP-TC1] gpup 42583 7 flags 1
[RESULT] [ 83124.284290] [RVS-GPUP-TC1] gpup 36479 cpu_cores_count 0
[RESULT] [ 83124.284290] [RVS-GPUP-TC1] gpup 36479 simd_count 1024
[RESULT] [ 83124.284290] [RVS-GPUP-TC1] gpup 36479 mem_banks_count 1
[RESULT] [ 83124.284292] [RVS-GPUP-TC1] gpup 36479 caches_count 546
[RESULT] [ 83124.284292] [RVS-GPUP-TC1] gpup 36479 io_links_count 8
[RESULT] [ 83124.284292] [RVS-GPUP-TC1] gpup 36479 p2p_links_count 1
